regime,A,B,C,D,AB,AC,AD,BC,BD,CD,polyLen,cycles,logCycles,steel,
1,-1,-1,-1,1,1,1,-1,1,-1,-1,1011,162938,24.24,304,
1,-1,-1,-1,1,1,1,-1,1,-1,-1,1011,159084,24.03,304,
2,-1,-1,1,-1,1,-1,1,-1,1,-1,2231,70028,16.91,304,
2,-1,-1,1,-1,1,-1,1,-1,1,-1,2231,419450,32.45,304,
3,-1,1,-1,-1,-1,1,1,-1,-1,1,1783,152720,23.68,304,
3,-1,1,-1,-1,-1,1,1,-1,-1,1,1783,174443,24.83,304,
4,-1,1,1,1,-1,-1,-1,1,1,1,4164,114480,21.17,304,
4,-1,1,1,1,-1,-1,-1,1,1,1,4164,118981,21.51,304,
5,1,-1,-1,-1,-1,-1,-1,1,1,1,1011,182826,25.24,304,
5,1,-1,-1,-1,-1,-1,-1,1,1,1,1011,76996,17.73,304,
6,1,-1,1,1,-1,1,1,-1,-1,1,2231,175375,24.88,304,
6,1,-1,1,1,-1,1,1,-1,-1,1,2231,64382,16.18,304,
7,1,1,-1,1,1,-1,1,-1,1,-1,1783,144000,23.17,304,
7,1,1,-1,1,1,-1,1,-1,1,-1,1783,61275,15.75,304,
8,1,1,1,-1,1,1,-1,1,-1,-1,4164,254598,28.12,304,
8,1,1,1,-1,1,1,-1,1,-1,-1,4164,295546,29.41,304,
9,-1,-1,-1,-1,1,1,1,1,1,1,1011,152180,23.65,304,
9,-1,-1,-1,-1,1,1,1,1,1,1,1011,60944,15.7,304,
10,-1,-1,1,1,1,-1,-1,-1,-1,1,2231,248414,27.9,304,
10,-1,-1,1,1,1,-1,-1,-1,-1,1,2231,23929,7.58,304,
11,-1,1,-1,1,-1,1,-1,-1,1,-1,1783,27921,8.92,304,
11,-1,1,-1,1,-1,1,-1,-1,1,-1,1783,52196,14.35,304,
12,-1,1,1,-1,-1,-1,1,1,-1,-1,4164,48838,13.78,304,
12,-1,1,1,-1,-1,-1,1,1,-1,-1,4164,41046,12.27,304,
13,1,-1,-1,1,-1,-1,1,1,-1,-1,1011,46880,13.42,304,
13,1,-1,-1,1,-1,-1,1,1,-1,-1,1011,230669,27.26,304,
14,1,-1,1,-1,-1,1,-1,-1,1,-1,2231,300813,29.57,304,
14,1,-1,1,-1,-1,1,-1,-1,1,-1,2231,300813,29.57,304,
15,1,1,-1,-1,1,-1,-1,-1,-1,1,1783,250202,27.97,304,
15,1,1,-1,-1,1,-1,-1,-1,-1,1,1783,247523,27.87,304,
16,1,1,1,1,1,1,1,1,1,1,4164,26910,8.6,304,
16,1,1,1,1,1,1,1,1,1,1,4164,206676,26.31,304,
1,-1,-1,-1,1,1,1,-1,1,-1,-1,1011,267940,8.6,316,
1,-1,-1,-1,1,1,1,-1,1,-1,-1,1011,459096,13.2,316,
2,-1,-1,1,-1,1,-1,1,-1,1,-1,2231,1798466,25.1,316,
2,-1,-1,1,-1,1,-1,1,-1,1,-1,2231,246337,7.8,316,
3,-1,1,-1,-1,-1,1,1,-1,-1,1,1783,3832575,31.7,316,
3,-1,1,-1,-1,-1,1,1,-1,-1,1,1783,2506618,28,316,
4,-1,1,1,1,-1,-1,-1,1,1,1,4164,398927,12,316,
4,-1,1,1,1,-1,-1,-1,1,1,1,4164,368381,11.3,316,
5,1,-1,-1,-1,-1,-1,-1,1,1,1,1011,945446,19.5,316,
5,1,-1,-1,-1,-1,-1,-1,1,1,1,1011,461899,13.3,316,
6,1,-1,1,1,-1,1,1,-1,-1,1,2231,6022466,35.6,316,
6,1,-1,1,1,-1,1,1,-1,-1,1,2231,448535,13,316,
7,1,1,-1,1,1,-1,1,-1,1,-1,1783,3035240,29.6,316,
7,1,1,-1,1,1,-1,1,-1,1,-1,1783,460922,13.3,316,
8,1,1,1,-1,1,1,-1,1,-1,-1,4164,206836,6.3,316,
8,1,1,1,-1,1,1,-1,1,-1,-1,4164,4460445,33,316,
9,-1,-1,-1,-1,1,1,1,1,1,1,1011,535269,14.6,316,
9,-1,-1,-1,-1,1,1,1,1,1,1,1011,1456264,23.3,316,
10,-1,-1,1,1,1,-1,-1,-1,-1,1,2231,986650,19.9,316,
10,-1,-1,1,1,1,-1,-1,-1,-1,1,2231,138868,2.9,316,
11,-1,1,-1,1,-1,1,-1,-1,1,-1,1783,535117,14.6,316,
11,-1,1,-1,1,-1,1,-1,-1,1,-1,1783,356467,11,316,
12,-1,1,1,-1,-1,-1,1,1,-1,-1,4164,1314172,22.4,316,
12,-1,1,1,-1,-1,-1,1,1,-1,-1,4164,2799219,28.9,316,
13,1,-1,-1,1,-1,-1,1,1,-1,-1,1011,1026320,20.2,316,
13,1,-1,-1,1,-1,-1,1,1,-1,-1,1011,2790585,28.9,316,
14,1,-1,1,-1,-1,1,-1,-1,1,-1,2231,1832930,25.3,316,
14,1,-1,1,-1,-1,1,-1,-1,1,-1,2231,854537,18.6,316,
15,1,1,-1,-1,1,-1,-1,-1,-1,1,1783,424593,12.6,316,
15,1,1,-1,-1,1,-1,-1,-1,-1,1,1783,185683,5.4,316,
16,1,1,1,1,1,1,1,1,1,1,4164,477543,13.6,316,
16,1,1,1,1,1,1,1,1,1,1,4164,1665888,24.4,316,
