,regime,A,B,C,D,AB,AC,AD,BC,BD,CD,ABC,ABD,ACD,BCD,polyLen,cycles,logCycles,steel
0,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,1,1,1011,162938,18.219847710980922,304
1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,1,1,1011,159084,18.01193013331199,304
2,2,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,2231,70028,10.884834548174812,304
3,2,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,2231,419450,26.433004061372007,304
4,3,-1,1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,1,1783,152720,17.657318394432583,304
5,3,-1,1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,1,1783,174443,18.81247102444162,304
6,4,-1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,4164,114480,15.153992501754775,304
7,4,-1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,4164,118981,15.488952381131147,304
8,5,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1011,182826,19.22015923782635,304
9,5,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1011,76996,11.708763363403602,304
10,6,1,-1,1,1,-1,1,1,-1,-1,1,-1,-1,1,-1,2231,175375,18.858753767448704,304
11,6,1,-1,1,1,-1,1,1,-1,-1,1,-1,-1,1,-1,2231,64382,10.154689361445259,304
12,7,1,1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1783,144000,17.146649928625372,304
13,7,1,1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1783,61275,9.725066485202687,304
14,8,1,1,1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,4164,254598,22.096499841150454,304
15,8,1,1,1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,4164,295546,23.391901804019703,304
16,9,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,1011,152180,17.626551682011026,304
17,9,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,1011,60944,9.678019193057796,304
18,10,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,2231,248414,21.882921445910508,304
19,10,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,2231,23929,1.5578910806720114,304
20,11,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1783,27921,2.898019459370789,304
21,11,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1783,52196,8.33214453585008,304
22,12,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,4164,48838,7.7545574973579985,304
23,12,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,4164,41046,6.24481690288424,304
24,13,1,-1,-1,1,-1,-1,1,1,-1,-1,1,-1,-1,1,1011,46880,7.399152146921061,304
25,13,1,-1,-1,1,-1,-1,1,1,-1,-1,1,-1,-1,1,1011,230669,21.239184744063365,304
26,14,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,2231,300813,23.545332104518543,304
27,14,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,2231,300813,23.545332104518543,304
28,15,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,1783,250202,21.945215625162746,304
29,15,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,1783,247523,21.851711288191943,304
30,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4164,26910,2.577674041995466,304
31,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4164,206676,20.285201039418506,304
32,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,1,1,1011,267940,5.6381903471414,316
33,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,1,1,1011,459096,10.31550946388611,316
34,2,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,2231,1798466,22.175483924333072,316
35,2,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,2231,246337,4.908032248267239,316
36,3,-1,1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,1,1783,3832575,28.747252533571128,316
37,3,-1,1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,1,1783,2506618,25.0592023666145,316
38,4,-1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,4164,398927,9.09530790705104,316
39,4,-1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,4164,368381,8.403383736043903,316
40,5,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1011,945446,16.590173861812133,316
41,5,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1011,461899,10.368379726648616,316
42,6,1,-1,1,1,-1,1,1,-1,-1,1,-1,-1,1,-1,2231,6022466,32.672926423548745,316
43,6,1,-1,1,1,-1,1,1,-1,-1,1,-1,-1,1,-1,2231,448535,10.113366036213485,316
44,7,1,1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1783,3035240,26.721300025334422,316
45,7,1,1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1783,460922,10.34998803996833,316
46,8,1,1,1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,4164,206836,3.389961893699358,316
47,8,1,1,1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,4164,4460445,30.065003058900956,316
48,9,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,1011,535269,11.648881127061514,316
49,9,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,1011,1456264,20.34224155726745,316
50,10,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,2231,986650,16.9607016908728,316
51,10,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,2231,138868,-0.0705170982396522,316
52,11,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1783,535117,11.646414250189318,316
53,11,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1783,356467,8.117825909533007,316
54,12,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,4164,1314172,19.45048348227062,316
55,12,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,4164,2799219,26.018176832542355,316
56,13,1,-1,-1,1,-1,-1,1,1,-1,-1,1,-1,-1,1,1011,1026320,17.303095128974952,316
57,13,1,-1,-1,1,-1,-1,1,1,-1,-1,1,-1,-1,1,1011,2790585,25.991344395922063,316
58,14,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,2231,1832930,22.34035687597713,316
59,14,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,2231,854537,15.712056719974036,316
60,15,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,1783,424593,9.636895885369603,316
61,15,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,1783,185683,2.452882170691969,316
62,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4164,477543,10.657688954439909,316
63,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4164,1665888,21.510355282868172,316
