,Unnamed: 0,regime,A,B,C,D,AB,AC,AD,BC,BD,CD,ABC,ABD,ACD,BCD,polyLen,cycles,logCycles,steel,logCycles_scaled
0,0,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,1,1,1011,162938,18.219847710980922,304,0.049483011638042626
1,1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,1,1,1011,159084,18.01193013331199,304,0.031680342825770744
2,2,2,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,2231,70028,10.884834548174814,304,-0.5785678320429991
3,3,2,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,2231,419450,26.433004061372014,304,0.75272370946033
4,4,3,-1,1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,1,1783,152720,17.657318394432586,304,0.0013171796195021956
5,5,3,-1,1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,1,1783,174443,18.81247102444162,304,0.10022560251591055
6,6,4,-1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,4164,114480,15.153992501754775,304,-0.21302680368473823
7,7,4,-1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,4164,118981,15.48895238113115,304,-0.18434630507181535
8,8,5,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1011,182826,19.22015923782635,304,0.13513336896320916
9,9,5,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1011,76996,11.708763363403602,304,-0.5080200121479361
10,10,6,1,-1,1,1,-1,1,1,-1,-1,1,-1,-1,1,-1,2231,175375,18.858753767448704,304,0.10418850144305454
11,11,6,1,-1,1,1,-1,1,1,-1,-1,1,-1,-1,1,-1,2231,64382,10.15468936144526,304,-0.6410855522374801
12,12,7,1,1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1783,144000,17.146649928625372,304,-0.042408135342144854
13,13,7,1,1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1783,61275,9.725066485202689,304,-0.6778714453094972
14,14,8,1,1,1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,4164,254598,22.096499841150454,304,0.38141624569913074
15,15,8,1,1,1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,4164,295546,23.391901804019703,304,0.4923333330482779
16,16,9,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,1011,152180,17.626551682011023,304,-0.0013171796195018913
17,17,9,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,1011,60944,9.678019193057796,304,-0.6818998077498454
18,18,10,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,2231,248414,21.882921445910505,304,0.3631288768362265
19,19,10,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,2231,23929,1.5578910806720114,304,-1.3771750851879325
20,20,11,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1783,27921,2.898019459370788,304,-1.2624283573769244
21,21,11,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1783,52196,8.33214453585008,304,-0.7971385530917646
22,22,12,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,4164,48838,7.7545574973579985,304,-0.8465936827244714
23,23,12,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,4164,41046,6.24481690288424,304,-0.9758632331741964
24,24,13,1,-1,-1,1,-1,-1,1,1,-1,-1,1,-1,-1,1,1011,46880,7.399152146921061,304,-0.8770247978753652
25,25,13,1,-1,-1,1,-1,-1,1,1,-1,-1,1,-1,-1,1,1011,230669,21.239184744063362,304,0.3080097693813629
26,26,14,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,2231,300813,23.545332104518547,304,0.505470600499025
27,27,14,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,2231,300813,23.545332104518547,304,0.505470600499025
28,28,15,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,1783,250202,21.945215625162746,304,0.36846273390879114
29,29,15,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,1783,247523,21.851711288191943,304,0.3604565481775739
30,30,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4164,26910,2.577674041995466,304,-1.2898575119246114
31,31,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4164,206676,20.285201039418503,304,0.22632617082992462
32,32,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,1,1,1011,267940,5.638190347141401,316,-0.6324931190389573
33,33,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,1,1,1011,459096,10.31550946388611,316,-0.26464063434880847
34,34,2,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,2231,1798466,22.175483924333076,316,0.668099032273182
35,35,2,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,2231,246337,4.908032248267238,316,-0.6899171399756403
36,36,3,-1,1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,1,1783,3832575,28.747252533571128,316,1.184942410152307
37,37,3,-1,1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,1,1783,2506618,25.0592023666145,316,0.8948919808967739
38,38,4,-1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,4164,398927,9.095307907051039,316,-0.36060461784048
39,39,4,-1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,4164,368381,8.403383736043903,316,-0.4150216929147353
40,40,5,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1011,945446,16.590173861812133,316,0.22883668284145328
41,41,5,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1011,461899,10.368379726648616,316,-0.26048259915001615
42,42,6,1,-1,1,1,-1,1,1,-1,-1,1,-1,-1,1,-1,2231,6022466,32.672926423548745,316,1.4936809970367833
43,43,6,1,-1,1,1,-1,1,1,-1,-1,1,-1,-1,1,-1,2231,448535,10.113366036213483,316,-0.28053840832513516
44,44,7,1,1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1783,3035240,26.721300025334425,316,1.0256093295097817
45,45,7,1,1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1783,460922,10.349988039968329,316,-0.2619290319193276
46,46,8,1,1,1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,4164,206836,3.389961893699358,316,-0.8093073158272508
47,47,8,1,1,1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,4164,4460445,30.065003058900963,316,1.288578230767791
48,48,9,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,1011,535269,11.648881127061514,316,-0.1597762735745809
49,49,9,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,1011,1456264,20.34224155726745,316,0.5239218352651491
50,50,10,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,2231,986650,16.9607016908728,316,0.25797721808499974
51,51,10,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,2231,138868,-0.0705170982396522,316,-1.0814601802417623
52,52,11,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1783,535117,11.646414250189318,316,-0.15997028359703447
53,53,11,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1783,356467,8.117825909533009,316,-0.4374796765123689
54,54,12,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,4164,1314172,19.450483482270624,316,0.4537886210365697
55,55,12,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,4164,2799219,26.01817683254236,316,0.9703114960594434
56,56,13,1,-1,-1,1,-1,-1,1,1,-1,-1,1,-1,-1,1,1011,1026320,17.303095128974952,316,0.2849050957439305
57,57,13,1,-1,-1,1,-1,-1,1,1,-1,-1,1,-1,-1,1,1011,2790585,25.991344395922066,316,0.9682012319883584
58,58,14,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,2231,1832930,22.34035687597713,316,0.6810656320297267
59,59,14,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,2231,854537,15.712056719974036,316,0.1597762735745809
60,60,15,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,1783,424593,9.636895885369604,316,-0.31801088443674896
61,61,15,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,1783,185683,2.4528821706919692,316,-0.8830048968255152
62,62,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4164,477543,10.657688954439909,316,-0.23772958281084386
63,63,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4164,1665888,21.510355282868165,316,0.6157893186755915
